epoch,lr,phase,train_acc,train_loss,val_acc,val_loss,val_macro_f1
1,,frozen,0.14335260115606938,3.1024470428510895,0.3166666626930237,2.898061996036106,0.1985183786345171
2,,frozen,0.21502890173410405,2.7852923927968636,0.4166666567325592,2.747214232550727,0.3085714649073968
1,4.989935734988098e-05,finetune,0.30115606936416184,2.5155295457454088,0.4555555582046509,2.171329296959771,0.3472028245426139
2,4.959823971496574e-05,finetune,0.3242774566473988,2.327651957418188,0.519444465637207,1.9275328318277996,0.43878980638846515
3,4.909907151739633e-05,finetune,0.4375722543352601,2.1911061231800586,0.5694444179534912,1.8242023573981392,0.517164980326477
4,4.8405871765993433e-05,finetune,0.4554913294797688,2.0205207248643644,0.6111111044883728,1.727804300520155,0.5756888903459473
5,4.7524221697560484e-05,finetune,0.46069364161849713,1.9519948658915613,0.6305555701255798,1.6625771575503878,0.5986835206243027
6,4.646121984004666e-05,finetune,0.49479768786127165,1.8791798045869508,0.6388888955116272,1.6493417183558146,0.6022410456774973
7,4.52254248593737e-05,finetune,0.42427745664739885,1.874384119882749,0.6277777552604675,1.5887793329026965,0.5968291582676483
8,4.3826786650090286e-05,finetune,0.45202312138728323,1.7603095936637394,0.6388888955116272,1.5919250011444093,0.6081016758939114
9,4.227656622467163e-05,finetune,0.49017341040462425,1.7942592232213543,0.644444465637207,1.5259779665205213,0.6187690369980652
10,4.058724504646835e-05,finetune,0.45606936416184973,1.7485893392838494,0.6527777910232544,1.5470659282472399,0.6307860019747529
11,3.877242453630257e-05,finetune,0.5236994219653179,1.641847193723469,0.6527777910232544,1.5026928689744738,0.6356464249917743
12,3.684671656182497e-05,finetune,0.5202312138728323,1.5412276392038158,0.6583333611488342,1.5252192550235324,0.6333467382546301
13,3.4825625791348096e-05,finetune,0.5884393063583815,1.5220675363706027,0.6555555462837219,1.516925687260098,0.6296598303323518
14,3.272542485937369e-05,finetune,0.5046242774566474,1.6939710606040292,0.6694444417953491,1.509733788172404,0.6483501748136888
15,3.056302334890786e-05,finetune,0.5734104046242775,1.4848085822397574,0.6472222208976746,1.5282936996883816,0.6174438416251466
16,2.835583164544139e-05,finetune,0.5803468208092486,1.6326573165165896,0.6555555462837219,1.5213653246561687,0.633109413371138
17,2.612162075876288e-05,finetune,0.5947976878612716,1.5340661975000636,0.6583333611488342,1.513161579767863,0.6394672583813736
