epoch,lr,phase,train_acc,train_loss,val_acc,val_loss,val_macro_f1
1,,frozen,0.19132947976878611,3.044233469880385,0.32777777314186096,2.8287116050720216,0.1888798143648232
2,,frozen,0.34739884393063586,2.6023534835418527,0.42222222685813904,2.5851603507995606,0.28139388668632914
3,,frozen,0.423121387283237,2.32801796108312,0.4416666626930237,2.3242674933539496,0.3235316790768947
4,,frozen,0.46705202312138727,2.1241472621873623,0.46666666865348816,2.1727853298187254,0.3618690992493873
5,,frozen,0.48554913294797686,2.000455117087833,0.4749999940395355,2.0866839117474028,0.4069617500370313
1,0.0029672214011007086,finetune,0.5329479768786127,1.5784927541809963,0.6222222447395325,1.3311000598801508,0.5879475953397446
2,0.0028703181864639014,finetune,0.6393063583815028,1.195690068206346,0.605555534362793,1.185693081219991,0.5638329167552849
3,0.0027135254915624215,finetune,0.6815028901734104,0.9685720935722307,0.6333333253860474,1.1187301562892067,0.6033992288638933
4,0.002503695909538288,finetune,0.7502890173410405,0.7652102266432922,0.6277777552604675,1.0732775900099012,0.6219709455806037
5,0.0022500000000000003,finetune,0.8063583815028902,0.6315095884951553,0.6527777910232544,1.0902182158496645,0.6320616252120479
6,0.0019635254915624217,finetune,0.8294797687861272,0.537451506487896,0.6694444417953491,1.0763647298018137,0.6583109687916466
7,0.0016567926949014808,finetune,0.869942196531792,0.4463166304406403,0.6888889074325562,1.0858155640463034,0.6675253495765207
8,0.0013432073050985206,finetune,0.8965317919075144,0.354671329983397,0.6583333611488342,1.1178151958518558,0.6428341807951249
9,0.0010364745084375795,finetune,0.9109826589595376,0.31009481159937863,0.644444465637207,1.1709549496571223,0.6335998451316842
10,0.0007500000000000007,finetune,0.9202312138728324,0.27544221933177443,0.6666666865348816,1.159510961506102,0.6466040206035849
