epoch,lr,phase,train_acc,train_loss,val_acc,val_loss,val_macro_f1
1,,frozen,0.20173410404624278,3.0472423054579365,0.3194444477558136,2.868738571802775,0.19338018208900845
2,,frozen,0.369364161849711,2.6277796957534174,0.40833333134651184,2.686669031778971,0.29173960451708963
3,,frozen,0.4485549132947977,2.404289869352572,0.4333333373069763,2.460933780670166,0.33676408470643215
1,2.99178284305241e-05,finetune,0.5317919075144508,2.05607187541234,0.5083333253860474,2.015281852086385,0.4305701784581113
2,2.9672214011007083e-05,finetune,0.5959537572254335,1.8077803231388159,0.5361111164093018,1.8967555284500122,0.4859086503278683
3,2.9265847744427305e-05,finetune,0.638728323699422,1.6776918557337943,0.6027777791023254,1.7824776252110799,0.5623628765673359
4,2.870318186463901e-05,finetune,0.6919075144508671,1.5802603079404445,0.6083333492279053,1.7328619321187337,0.5712953260417968
5,2.7990381056766583e-05,finetune,0.7098265895953757,1.4802935942059996,0.625,1.706773034731547,0.5863831605988361
6,2.7135254915624213e-05,finetune,0.7410404624277457,1.3995514599574095,0.6333333253860474,1.6550168673197427,0.6017806532083794
7,2.6147172382160913e-05,finetune,0.7791907514450868,1.3380105459621188,0.6333333253860474,1.6571707646052043,0.5966711454212711
8,2.503695909538287e-05,finetune,0.7982658959537572,1.292327795965823,0.6333333253860474,1.6224885304768881,0.5959974448855571
9,2.3816778784387094e-05,finetune,0.8121387283236994,1.2462682247161865,0.6388888955116272,1.6130324880282083,0.6029208041261014
10,2.2499999999999998e-05,finetune,0.8364161849710983,1.1968920884104823,0.6472222208976746,1.5921479701995849,0.623903034774216
11,2.1101049646137004e-05,finetune,0.846242774566474,1.1596717004831127,0.6333333253860474,1.6033564607302349,0.5930390685361445
12,1.963525491562421e-05,finetune,0.8647398843930636,1.1288198415943653,0.625,1.6102218945821127,0.582998532909498
13,1.8118675362266388e-05,finetune,0.8716763005780347,1.0878996363954048,0.6111111044883728,1.5836533308029175,0.5734494028366666
